"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"1","AFG","Asia","Afghanistan",2021-04-22,58312,98,111.143,2561,4,4,1497.932,2.517,2.855,65.788,0.103,0.103,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240000,240000,NA,NA,8000,0.62,0.62,NA,206,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511
"2","OWID_AFR",NA,"Africa",2021-04-22,4474950,12579,11146.571,119227,308,309.714,3338.025,9.383,8.315,88.936,0.23,0.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16123345,11205537,4689884,76411,178788,1.2,0.84,0.35,133,NA,1340598113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ALB","Europe","Albania",2021-04-22,130114,134,140.857,2364,6,4.143,45213.01,46.563,48.946,821.461,2.085,1.44,0.67,NA,NA,NA,NA,NA,NA,NA,NA,2584,592932,206.037,0.898,2571,0.893,0.057,17.6,"tests performed",382998,NA,NA,10923,11216,13.31,NA,NA,3897,54.63,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795
"4","DZA","Africa","Algeria",2021-04-22,120363,189,174.429,3181,9,5.286,2744.815,4.31,3.978,72.541,0.205,0.121,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
"5","AND","Europe","Andorra",2021-04-22,12942,25,43,123,0,0.286,167501.456,323.562,556.526,1591.924,0,3.698,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,177079,2291.84,NA,470,6.083,0.068,14.7,"people tested",26414,21733,4681,1973,1050,34.19,28.13,6.06,13590,52.78,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868
"6","AGO","Africa","Angola",2021-04-22,25051,168,157.143,572,2,2.143,762.21,5.112,4.781,17.404,0.061,0.065,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395447,395447,NA,NA,18751,1.2,1.2,NA,571,NA,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581
"7","AIA","North America","Anguilla",2021-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5835,5835,NA,NA,20,38.89,38.89,NA,1333,NA,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA
"8","ATG","North America","Antigua and Barbuda",2021-04-22,1217,0,1.143,31,0,0,12427.498,0,11.67,316.559,0,0,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29754,29754,NA,225,250,30.38,30.38,NA,2553,NA,97928,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778
"9","ARG","South America","Argentina",2021-04-22,2796768,27216,23944.571,60620,537,242.143,61881.18,602.18,529.797,1341.276,11.882,5.358,1.22,NA,NA,NA,NA,NA,NA,NA,NA,33964,8275984,183.114,0.751,41726,0.923,0.29,3.4,"tests performed",6693438,5851232,842206,142870,108327,14.81,12.95,1.86,2397,NA,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845
"10","ARM","Asia","Armenia",2021-04-22,211399,881,751,3969,25,21.714,71340.637,297.31,253.439,1339.415,8.437,7.328,0.93,NA,NA,NA,NA,NA,NA,NA,NA,4858,951500,321.102,1.639,4440,1.498,0.173,5.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
"11","ABW","North America","Aruba",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64288,45097,19191,1946,1641,60.21,42.24,17.97,15370,56.48,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA
"12","OWID_ASI",NA,"Asia",2021-04-22,35621280,482744,430847.571,482016,3948,3384.429,7677.252,104.043,92.858,103.886,0.851,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447211656,176213503,49778433,11995474,7662262,9.64,3.8,1.07,1651,NA,4639847425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AUS","Oceania","Australia",2021-04-22,29638,44,22,910,0,0,1162.28,1.725,0.863,35.686,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,37186,16488916,646.627,1.458,32046,1.257,0.001,1852.3,"tests performed",1785338,NA,NA,67231,60810,7,NA,NA,2385,44.91,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944
"14","AUT","Europe","Austria",2021-04-22,602494,2405,2230.143,10026,29,30.429,66896.207,267.032,247.618,1113.208,3.22,3.379,0.92,546,60.624,1475,163.772,NA,NA,NA,NA,262443,29597609,3286.286,29.14,270639,30.05,NA,NA,"tests performed",2693775,1930800,762975,65466,48623,29.91,21.44,8.47,5399,81.48,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922
"15","AZE","Asia","Azerbaijan",2021-04-22,307980,2047,1967,4274,39,32.714,30375.252,201.89,194,421.533,3.846,3.227,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1381967,917877,464090,15077,15739,13.63,9.05,4.58,1552,72.22,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756
"16","BHS","North America","Bahamas",2021-04-22,9868,0,51.857,194,0,0.571,25093.58,0,131.869,493.327,0,1.453,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15000,15000,NA,NA,757,3.81,3.81,NA,1925,59.72,393248,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814
"17","BHR","Asia","Bahrain",2021-04-22,168201,1036,1038.143,614,7,5.714,98849.718,608.845,610.104,360.84,4.114,3.358,1.06,NA,NA,NA,NA,NA,NA,NA,NA,15257,3949992,2321.363,8.966,16487,9.689,0.061,16.5,"units unclear",1149633,642572,507061,12155,17330,67.56,37.76,29.8,10185,NA,1701583,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852
"18","BGD","Asia","Bangladesh",2021-04-22,736074,4014,4101.714,10781,98,100,4469.468,24.373,24.906,65.463,0.595,0.607,0.78,NA,NA,NA,NA,NA,NA,NA,NA,27429,5248270,31.868,0.167,19019,0.115,0.207,4.8,"tests performed",7746661,5778686,1967975,161335,161375,4.7,3.51,1.19,980,83.33,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632
"19","BRB","North America","Barbados",2021-04-22,3806,9,7.571,44,0,0,13244.203,31.318,26.347,153.112,0,0,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71350,71350,NA,216,754,24.83,24.83,NA,2624,NA,287371,664.463,39.8,14.952,9.473,16978.068,NA,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
"20","BLR","Europe","Belarus",2021-04-22,348486,1170,1209,2463,10,10,36879.475,123.818,127.946,260.654,1.058,1.058,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,5723427,605.697,NA,16353,1.731,0.075,13.4,"tests performed",NA,92000,NA,NA,NA,NA,0.97,NA,NA,22.22,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.823
"21","BEL","Europe","Belgium",2021-04-22,964526,4357,3602.429,23909,42,39,83223.292,375.94,310.832,2062.967,3.624,3.365,0.96,931,80.331,3000,258.852,NA,NA,1652.579,142.591,47806,12155672,1048.842,4.125,41609,3.59,0.096,10.4,"tests performed",3272118,2538840,733278,45357,54057,28.23,21.91,6.33,4664,60.19,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931
"22","BLZ","North America","Belize",2021-04-22,12596,11,9.571,320,2,0.286,31678.407,27.665,24.072,804.786,5.03,0.719,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38211,38211,NA,1114,719,9.61,9.61,NA,1808,73.15,397621,16.426,25,3.853,2.279,7824.362,NA,176.957,17.11,NA,NA,90.083,1.3,74.62,0.716
"23","BEN","Africa","Benin",2021-04-22,7720,0,15.571,97,0,0.286,636.796,0,1.284,8.001,0,0.024,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.81,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
"24","BMU","North America","Bermuda",2021-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52337,30094,22243,NA,731,84.04,48.33,35.72,11739,74.07,62273,1308.82,NA,NA,NA,50669.315,NA,139.547,13,NA,NA,NA,NA,82.59,NA
"25","BTN","Asia","Bhutan",2021-04-22,992,6,8.286,1,0,0,1285.62,7.776,10.738,1.296,0,0,1.24,NA,NA,NA,NA,NA,NA,NA,NA,4130,681537,883.264,5.352,3279,4.25,0.003,360.3,"samples tested",479354,479354,NA,21,246,62.12,62.12,NA,319,66.67,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,NA,NA,79.807,1.7,71.78,0.654
"26","BOL","South America","Bolivia",2021-04-22,294391,1330,1182.429,12758,27,22.143,25219.761,113.938,101.296,1092.947,2.313,1.897,1.17,NA,NA,NA,NA,NA,NA,NA,NA,10802,1079928,92.515,0.925,8846,0.758,0.125,8,"tests performed",619794,431138,188656,23428,16055,5.31,3.69,1.62,1375,27.78,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,NA,NA,25.383,1.1,71.51,0.718
"27","BIH","Europe","Bosnia and Herzegovina",2021-04-22,194371,1256,950.857,8164,82,66,59244.73,382.832,289.823,2488.406,24.994,20.117,0.96,NA,NA,NA,NA,NA,NA,NA,NA,3447,884114,269.48,1.051,3592,1.095,0.267,3.7,"tests performed",15000,NA,NA,NA,263,0.46,NA,NA,80,45.37,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
"28","BWA","Africa","Botswana",2021-04-22,45855,1153,254.286,691,7,2.857,19499.282,490.299,108.132,293.839,2.977,1.215,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31628,31628,NA,NA,2335,1.34,1.34,NA,993,62.04,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,4.81,5.7,34.4,NA,1.8,69.59,0.735
"29","BRA","South America","Brazil",2021-04-22,14167973,45178,60184.571,383502,2027,2579.714,66654.179,212.543,283.142,1804.211,9.536,12.136,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35024957,25340967,9683990,966317,430031,16.48,11.92,4.56,2023,NA,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,NA,2.2,75.88,0.765
"30","BRN","Asia","Brunei",2021-04-22,223,0,0.286,3,0,0,509.734,0,0.653,6.857,0,0,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,12.79,2,30.9,NA,2.7,75.86,0.838
"31","BGR","Europe","Bulgaria",2021-04-22,392913,0,1450.286,15618,0,91.286,56546.896,0,208.721,2247.697,0,13.138,0.82,797,114.702,9204,1324.613,NA,NA,NA,NA,14179,2405956,346.258,2.041,12385,1.782,0.14,7.1,"tests performed",698517,546700,151817,22016,11163,10.05,7.87,2.18,1607,53.7,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816
"32","BFA","Africa","Burkina Faso",2021-04-22,13212,45,21.143,156,1,0.286,632.054,2.153,1.011,7.463,0.048,0.014,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
"33","BDI","Africa","Burundi",2021-04-22,3732,26,44,6,0,0,313.857,2.187,3.7,0.505,0,0,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.74,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.433
"34","KHM","Asia","Cambodia",2021-04-22,8193,446,425,59,5,3.286,490.042,26.676,25.42,3.529,0.299,0.197,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1845972,1281406,564566,70608,48166,11.04,7.66,3.38,2881,68.52,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.594
"35","CMR","Africa","Cameroon",2021-04-22,64809,0,439.714,939,0,2.857,2441.397,0,16.564,35.373,0,0.108,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,400,NA,400,400,0,0,NA,15,35.19,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,NA,NA,2.735,1.3,59.29,0.563
"36","CAN","North America","Canada",2021-04-22,1164108,9055,8514.286,23810,49,46.857,30843.706,239.917,225.591,630.86,1.298,1.242,1.11,1325,35.107,4351,115.282,NA,NA,NA,NA,137021,30411387,805.767,3.63,130421,3.456,0.066,15.1,"tests performed",11158636,10184121,974515,360486,279047,29.57,26.98,2.58,7394,75.46,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,NA,2.5,82.43,0.929
"37","CPV","Africa","Cape Verde",2021-04-22,21500,321,245.714,199,1,1.571,38669.899,577.351,441.942,357.921,1.799,2.826,1.36,NA,NA,NA,NA,NA,NA,NA,NA,1619,NA,NA,2.912,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.42,2.1,16.5,NA,2.1,72.98,0.665
"38","CYM","North America","Cayman Islands",2021-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63774,34786,28988,424,531,97.04,52.93,44.11,8080,NA,65720,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,NA
"39","CAF","Africa","Central African Republic",2021-04-22,6175,0,70.429,85,0,1.429,1278.53,0,14.582,17.599,0,0.296,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.96,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.397
"40","TCD","Africa","Chad",2021-04-22,4735,4,8.857,169,0,0.143,288.265,0.244,0.539,10.289,0,0.009,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.398
"41","CHL","South America","Chile",2021-04-22,1148320,6917,6660.286,25532,179,109.429,60070.488,361.84,348.41,1335.62,9.364,5.724,0.99,NA,NA,NA,NA,NA,NA,NA,NA,66267,12574563,657.796,3.467,63701,3.332,0.109,9.2,"tests performed",13722557,7849346,5873211,169385,139393,71.78,41.06,30.72,7292,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851
"42","CHN","Asia","China",2021-04-22,102332,32,28.143,4844,-1,-0.143,71.097,0.022,0.02,3.365,-0.001,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211223000,NA,NA,7032000,3955286,14.68,NA,NA,2748,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.761
"43","COL","South America","Colombia",2021-04-22,2720619,19306,16842.857,70026,430,403.857,53468.255,379.42,331.012,1376.219,8.451,7.937,1.17,NA,NA,NA,NA,NA,NA,NA,NA,81926,14095309,277.015,1.61,74010,1.455,0.242,4.1,"tests performed",4131008,2850117,1280891,151433,96561,8.12,5.6,2.52,1898,81.48,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
"44","COM","Africa","Comoros",2021-04-22,3824,2,2.143,146,0,0,4397.449,2.3,2.464,167.894,0,0,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
"45","COG","Africa","Congo",2021-04-22,10084,0,0,139,0,0,1827.443,0,0,25.19,0,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14297,14297,NA,NA,NA,0.26,0.26,NA,NA,53.7,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.574
"46","CRI","North America","Costa Rica",2021-04-22,235274,1776,1105.857,3125,10,8.571,46185.46,348.638,217.085,613.453,1.963,1.683,1.32,NA,NA,NA,NA,NA,NA,NA,NA,4307,763383,149.856,0.845,4443,0.872,0.171,5.8,"people tested",698327,450593,247734,NA,15933,13.71,8.85,4.86,3128,62.04,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
"47","CIV","Africa","Cote d'Ivoire",2021-04-22,45715,18,38.714,277,0,0.571,1733.055,0.682,1.468,10.501,0,0.022,0.58,NA,NA,NA,NA,NA,NA,NA,NA,451,577798,21.904,0.017,2218,0.084,0.02,50.2,"samples tested",109077,109077,NA,3967,3116,0.41,0.41,NA,118,25.93,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.538
"48","HRV","Europe","Croatia",2021-04-22,316308,2885,2201.143,6738,46,42.286,77049.294,702.756,536.175,1641.306,11.205,10.3,1.18,NA,NA,2105,512.756,NA,NA,1636.78,398.702,10537,1734234,422.441,2.567,8662,2.11,0.257,3.9,"people tested",746878,593972,152906,20563,14721,18.19,14.47,3.72,3586,52.78,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851
"49","CUB","North America","Cuba",2021-04-22,97967,1207,1079.857,559,12,9.714,8649.274,106.563,95.338,49.353,1.059,0.858,1.06,NA,NA,NA,NA,NA,NA,NA,NA,21830,3450918,304.673,1.927,21816,1.926,0.048,20.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
"50","CUW","North America","Curacao",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77687,62322,15365,2848,2787,47.34,37.98,9.36,16984,NA,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA
"51","CYP","Europe","Cyprus",2021-04-22,59792,927,835.429,296,1,1.857,68263.578,1058.341,953.796,337.939,1.142,2.12,1.27,36,41.101,271,309.396,26.632,30.405,166.696,190.314,53024,4770915,5446.878,60.537,57958,66.17,0.014,72.3,"tests performed",219654,161389,58265,4979,3635,25.08,18.43,6.65,4150,NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,9.24,19.6,52.7,NA,3.4,80.98,0.887
