"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"163","ROU","Europe","Romania",2021-04-22,1039998,2989,2813.857,26943,150,163.286,54060.463,155.372,146.268,1400.533,7.797,8.488,0.78,1475,76.672,NA,NA,NA,NA,NA,NA,24867,7203810,374.464,1.293,20278,1.054,0.144,7,"tests performed",4487643,2801060,1686583,91778,81246,23.33,14.56,8.77,4223,63.89,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,NA,6.892,76.05,0.828
"164","RUS","Europe","Russia",2021-04-22,4682573,8874,8587,105328,391,380.143,32086.822,60.808,58.841,721.749,2.679,2.605,1,NA,NA,NA,NA,NA,NA,NA,NA,332888,127175519,871.456,2.281,292030,2.001,0.029,34.2,"tests performed",17218313,10787419,6430894,397046,293459,11.8,7.39,4.41,2011,42.13,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,NA,8.05,72.58,0.824
"165","RWA","Africa","Rwanda",2021-04-22,24262,150,74,328,1,1,1873.194,11.581,5.713,25.324,0.077,0.077,0.67,NA,NA,NA,NA,NA,NA,NA,NA,4092,1264616,97.637,0.316,4573,0.353,0.013,76.8,"samples tested",349702,349702,NA,275,60,2.7,2.7,NA,5,71.3,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,NA,69.02,0.543
"166","SHN","Africa","Saint Helena",2021-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4572,3563,1009,NA,61,75.31,58.69,16.62,10048,NA,6071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.56,NA
"167","KNA","North America","Saint Kitts and Nevis",2021-04-22,44,0,0,NA,NA,0,827.192,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11451,11451,NA,299,181,21.53,21.53,NA,3403,NA,53192,212.865,NA,NA,NA,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,0.779
"168","LCA","North America","Saint Lucia",2021-04-22,4455,11,14.286,70,0,0.857,24260.874,59.903,77.797,381.203,0,4.668,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23829,NA,NA,89,69,12.98,NA,NA,376,NA,183629,293.187,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.759
"169","VCT","North America","Saint Vincent and the Grenadines",2021-04-22,1827,0,1.286,10,0,0,16467.322,0,11.589,90.133,0,0,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12764,NA,NA,NA,91,11.5,NA,NA,820,NA,110947,281.787,31.8,7.724,4.832,10727.146,NA,252.675,11.62,NA,NA,NA,2.6,72.53,0.738
"170","WSM","Oceania","Samoa",2021-04-22,3,0,0,NA,NA,0,15.12,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198410,69.413,22,5.606,3.564,6021.557,NA,348.977,9.21,16.7,38.1,NA,NA,73.32,0.715
"171","SMR","Europe","San Marino",2021-04-22,5045,1,5,88,0,0.286,148653.427,29.465,147.327,2592.964,0,8.419,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24262,15621,8641,990,662,71.49,46.03,25.46,19506,54.63,33938,556.667,NA,NA,NA,56861.47,NA,NA,5.64,NA,NA,NA,3.8,84.97,NA
"172","STP","Africa","Sao Tome and Principe",2021-04-22,2292,4,3,35,0,0,10458.065,18.251,13.689,159.7,0,0,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,NA,NA,41.34,2.9,70.39,0.625
"173","SAU","Asia","Saudi Arabia",2021-04-22,409093,1055,993,6869,11,11.143,11750.864,30.304,28.523,197.306,0.316,0.32,1.16,NA,NA,NA,NA,NA,NA,NA,NA,61923,16414039,471.48,1.779,56454,1.622,0.017,57.4,"tests performed",7767501,NA,NA,155973,153885,22.31,NA,NA,4420,50,34813867,15.322,31.9,3.295,1.845,49045.411,NA,259.538,17.72,1.8,25.4,NA,2.7,75.13,0.854
"174","SEN","Africa","Senegal",2021-04-22,39975,65,52.714,1097,1,1.714,2387.432,3.882,3.148,65.516,0.06,0.102,0.81,NA,NA,NA,NA,NA,NA,NA,NA,1392,480993,28.726,0.083,1422,0.085,0.035,28.2,"tests performed",392439,392439,NA,765,2209,2.34,2.34,NA,132,23.15,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,NA,67.94,0.512
"175","SRB","Europe","Serbia",2021-04-22,673520,2719,2664.286,6130,35,35.571,98980.16,399.583,391.542,900.862,5.144,5.228,0.82,NA,NA,NA,NA,NA,NA,NA,NA,14544,3741146,549.797,2.137,13456,1.977,0.201,5,"people tested",3176769,1892399,1284370,40291,22338,46.69,27.81,18.88,3283,56.48,6804596,80.291,41.2,17.366,NA,14048.881,NA,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
"176","SYC","Africa","Seychelles",2021-04-22,5170,154,57.857,26,1,0.143,52572.707,1565.996,588.338,264.389,10.169,1.453,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116957,66433,50524,NA,844,118.93,67.55,51.38,8582,45.37,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,NA,3.6,73.4,0.796
"177","SLE","Africa","Sierra Leone",2021-04-22,4044,2,4,79,0,0,506.958,0.251,0.501,9.903,0,0,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44347,42566,1781,1928,1118,0.56,0.53,0.02,140,50.93,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,NA,54.7,0.452
"178","SGP","Asia","Singapore",2021-04-22,60904,24,24.143,30,0,0,10410.33,4.102,4.127,5.128,0,0,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,9278789,1586.025,NA,17292,2.956,0.001,699.7,"samples tested",2213888,1364124,849764,NA,45530,37.84,23.32,14.53,7782,50.93,5850343,7915.731,42.4,12.922,7.049,85535.383,NA,92.243,10.99,5.2,28.3,NA,2.4,83.62,0.938
"179","SVK","Europe","Slovakia",2021-04-22,378150,677,600,11357,53,68.571,69262.77,124.001,109.897,2080.173,9.708,12.56,0.84,NA,NA,1818,332.989,NA,NA,NA,NA,135754,31976150,5856.821,24.865,297767,54.54,0.004,250,"tests performed",1392593,996484,396109,20706,21001,25.51,18.25,7.26,3847,64.81,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,NA,5.82,77.54,0.86
"180","SVN","Europe","Slovenia",2021-04-22,234811,744,692,4187,11,6.429,112947.898,357.876,332.863,2014.015,5.291,3.092,0.91,153,73.595,631,303.521,75.386,36.262,426.527,205.166,5371,1149750,553.048,2.584,3709,1.784,0.188,5.3,"tests performed",562457,394990,167467,17865,9235,27.06,19,8.06,4442,65.74,2078932,102.619,44.5,19.062,12.93,31400.84,NA,153.493,7.25,20.1,25,NA,4.5,81.32,0.917
"181","SLB","Oceania","Solomon Islands",2021-04-22,20,0,0.143,NA,NA,0,29.117,0,0.208,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,NA,NA,35.89,1.4,73,0.567
"182","SOM","Africa","Somalia",2021-04-22,13459,0,88.857,689,0,4.714,846.839,0,5.591,43.352,0,0.297,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117567,117567,NA,NA,NA,0.74,0.74,NA,NA,NA,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA
"183","ZAF","Africa","South Africa",2021-04-22,1571348,1413,1202.429,53995,55,60.571,26494.397,23.825,20.274,910.406,0.927,1.021,1.11,NA,NA,NA,NA,NA,NA,NA,NA,34493,10447673,176.158,0.582,26858,0.453,0.043,23.5,"people tested",292623,292623,292623,2836,2884,0.49,0.49,0.49,49,NA,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
"184","OWID_SAM",NA,"South America",2021-04-22,23874505,125475,126227.429,639255,4187,3982.857,55424.175,291.288,293.034,1484.017,9.72,9.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64112472,45064257,19048215,1183514,881378,14.88,10.46,4.42,2046,NA,430759772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","KOR","Asia","South Korea",2021-04-22,117458,797,667,1811,3,3,2291.006,15.545,13.01,35.323,0.059,0.059,1.05,NA,NA,NA,NA,NA,NA,NA,NA,39983,8470366,165.214,0.78,35637,0.695,0.018,57.1,"people tested",2114700,2035549,79151,150311,96354,4.12,3.97,0.15,1879,58.33,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.916
"186","SSD","Africa","South Sudan",2021-04-22,10504,18,12.571,114,0,0,938.383,1.608,1.123,10.184,0,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,538,146233,13.064,0.048,565,0.05,0.021,47.7,"tests performed",947,947,NA,NA,95,0.01,0.01,NA,8,72.22,11193729,NA,19.2,3.441,2.032,1569.888,NA,280.775,10.43,NA,NA,NA,NA,57.85,0.433
"187","ESP","Europe","Spain",2021-04-22,3456886,10814,8600.143,77496,132,87.714,73936.521,231.292,183.941,1657.499,2.823,1.876,1.04,NA,NA,NA,NA,55.316,1.183,984.829,21.064,NA,38644733,826.541,NA,123757,2.647,0.069,14.4,"tests performed",13909964,10141949,3768015,412155,289268,29.75,21.69,8.06,6187,67.59,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,NA,2.97,83.56,0.904
"188","LKA","Asia","Sri Lanka",2021-04-22,98722,672,396.143,634,4,3.714,4610.323,31.382,18.5,29.608,0.187,0.173,1.14,NA,NA,NA,NA,NA,NA,NA,NA,12464,2503762,116.926,0.582,6055,0.283,0.055,18.2,"tests performed",925242,925242,NA,NA,109,4.32,4.32,NA,5,47.69,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.782
"189","SDN","Africa","Sudan",2021-04-22,33599,442,95.286,2300,11,13.143,766.239,10.08,2.173,52.452,0.251,0.3,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100010,100010,NA,NA,8601,0.23,0.23,NA,196,NA,43849269,23.258,19.7,3.548,2.034,4466.507,NA,431.388,15.67,NA,NA,23.437,0.8,65.31,0.51
"190","SUR","South America","Suriname",2021-04-22,9865,74,58.143,191,2,0.857,16816.277,126.143,99.113,325.586,3.409,1.461,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35777,35777,NA,353,211,6.1,6.1,NA,360,NA,586634,3.612,29.6,6.933,4.229,13767.119,NA,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
"191","SWE","Europe","Sweden",2021-04-22,932076,7736,5656.571,13882,19,17.286,92291.423,765.996,560.097,1374.555,1.881,1.712,1.09,403,39.904,2116,209.52,225.893,22.367,NA,NA,48658,NA,NA,4.818,48658,4.818,0.125,8,"tests performed",2711601,2010951,700650,75055,67020,26.85,19.91,6.94,6636,65.74,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.945
"192","CHE","Europe","Switzerland",2021-04-22,644396,2265,2028.857,10555,9,8.143,74456.897,261.71,234.425,1219.58,1.04,0.941,1.09,NA,NA,NA,NA,NA,NA,NA,NA,23739,6285821,726.297,2.743,24902,2.877,0.087,11.5,"tests performed",2091809,1326196,765613,67436,40501,24.17,15.32,8.85,4680,60.19,8654618,214.243,43.1,18.436,12.644,57410.166,NA,99.739,5.59,22.6,28.9,NA,4.53,83.78,0.955
"193","SYR","Asia","Syria",2021-04-22,21725,141,144.571,1496,13,11.714,1241.382,8.057,8.261,85.483,0.743,0.669,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.87,17500657,NA,21.7,NA,2.577,NA,NA,376.264,NA,NA,NA,70.598,1.5,72.7,0.567
"194","TWN","Asia","Taiwan",2021-04-22,1086,4,2.571,11,0,0,45.598,0.168,0.108,0.462,0,0,1.02,NA,NA,NA,NA,NA,NA,NA,NA,674,201735,8.47,0.028,511,0.021,0.004,228.2,"people tested",39221,32389,NA,2490,1312,0.16,0.14,NA,55,25,23816775,NA,42.2,NA,8.353,NA,NA,103.957,NA,NA,NA,NA,NA,80.46,NA
"195","TJK","Asia","Tajikistan",2021-04-22,13308,0,0,90,0,0,1395.313,0,0,9.436,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.48,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,NA,NA,72.704,4.8,71.1,0.668
"196","TZA","Africa","Tanzania",2021-04-22,509,0,0,21,0,0,8.521,0,0,0.352,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
"197","THA","Asia","Thailand",2021-04-22,48113,1470,1522.857,117,7,2.857,689.298,21.06,21.817,1.676,0.1,0.041,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666210,571825,94385,47627,13076,0.95,0.82,0.14,187,47.22,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
"198","TLS","Asia","Timor",2021-04-22,1657,148,74.143,3,1,0.143,1256.786,112.254,56.235,2.275,0.758,0.108,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629,2629,NA,NA,NA,0.2,0.2,NA,NA,80.09,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
"199","TGO","Africa","Togo",2021-04-22,12698,41,69.143,121,0,0.571,1533.809,4.952,8.352,14.616,0,0.069,1.02,NA,NA,NA,NA,NA,NA,NA,NA,1002,303231,36.628,0.121,1063,0.128,0.056,17.7,"tests performed",160000,160000,NA,NA,10050,1.93,1.93,NA,1214,33.33,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
"200","TON","Oceania","Tonga",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,500,NA,NA,250,0.47,0.47,NA,2365,47.22,105697,150.028,22.3,5.82,4.032,5425.621,NA,227.49,15.42,11.8,44.4,NA,2.6,70.91,0.725
"201","TTO","North America","Trinidad and Tobago",2021-04-22,9383,167,100.714,157,0,1,6704.58,119.329,71.965,112.184,0,0.715,1.82,NA,NA,NA,NA,NA,NA,NA,NA,604,123913,88.541,0.432,697,0.498,0.132,7.6,"people tested",16462,16462,NA,NA,1176,1.18,1.18,NA,840,64.81,1399491,266.886,36.2,10.014,5.819,28763.071,NA,228.467,10.97,NA,NA,89.443,3,73.51,0.796
"202","TUN","Africa","Tunisia",2021-04-22,294138,2305,2108.857,10063,70,72.857,24887.681,195.031,178.435,851.453,5.923,6.165,1.23,NA,NA,NA,NA,NA,NA,NA,NA,8507,1249409,105.715,0.72,7108,0.601,0.309,3.2,"people tested",316580,265365,51215,16211,19079,2.68,2.25,0.43,1614,61.11,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
"203","TUR","Asia","Turkey",2021-04-22,4501382,54791,59203.571,37329,354,328.286,53372.442,649.651,701.971,442.606,4.197,3.892,1.09,NA,NA,NA,NA,NA,NA,NA,NA,312109,45040704,534.043,3.701,316083,3.748,0.19,5.3,"tests performed",20728975,12796678,7932297,251290,183387,24.58,15.17,9.41,2174,83.33,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,NA,2.81,77.69,0.82
"204","UGA","Africa","Uganda",2021-04-22,41529,54,38,341,0,0.429,907.916,1.181,0.831,7.455,0,0.009,1.12,NA,NA,NA,NA,NA,NA,NA,NA,2651,998791,21.836,0.058,3123,0.068,0.01,100.3,"samples tested",253562,253562,NA,7623,6693,0.55,0.55,NA,146,52.78,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
"205","UKR","Europe","Ukraine",2021-04-22,2043901,16357,12492.429,43041,476,378.857,46735.086,374.013,285.647,984.16,10.884,8.663,0.9,NA,NA,NA,NA,NA,NA,NA,NA,46516,9089301,207.833,1.064,38172,0.873,0.322,3.1,"tests performed",508049,508044,5,16169,10747,1.16,1.16,0,246,69.44,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,NA,8.8,72.06,0.779
"206","ARE","Asia","United Arab Emirates",2021-04-22,504872,2081,1921.286,1565,4,2.857,51046.672,210.406,194.258,158.234,0.404,0.289,0.97,NA,NA,NA,NA,NA,NA,NA,NA,256181,40925902,4137.942,25.902,234042,23.664,0.008,121.6,"tests performed",10001241,5081853,3836521,101239,87700,101.12,51.38,38.79,8867,53.7,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89
"207","GBR","Europe","United Kingdom",2021-04-22,4413834,2766,2534,127597,20,22.714,65018.321,40.745,37.327,1879.577,0.295,0.335,0.96,300,4.419,2004,29.52,NA,NA,577,8.5,1371393,143949153,2120.454,20.201,1083648,15.963,0.002,427.6,"tests performed",44450252,33257651,11192601,534693,498850,65.48,48.99,16.49,7348,66.2,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,NA,2.54,81.32,0.932
"208","USA","North America","United States",2021-04-22,31929351,67257,61957.429,570345,943,705.714,96462.525,203.192,187.181,1723.083,2.849,2.132,0.96,9472,28.616,39090,118.096,NA,NA,35055,105.905,461175,404496912,1222.035,1.393,941823,2.845,0.068,14.7,"tests performed",218947643,135791031,89245776,2995734,2947229,65.47,40.6,26.68,8812,56.94,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.926
"209","URY","South America","Uruguay",2021-04-22,175891,3290,2770.286,2160,77,62,50634.664,947.11,797.497,621.811,22.166,17.848,0.99,NA,NA,NA,NA,NA,NA,NA,NA,17646,1675577,482.357,5.08,14314,4.121,0.205,4.9,"tests performed",1529024,1100940,428084,50546,39891,44.02,31.69,12.32,11484,72.22,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,NA,2.8,77.91,0.817
"210","UZB","Asia","Uzbekistan",2021-04-22,87935,384,315,640,0,0.857,2627.341,11.473,9.412,19.122,0,0.026,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458555,458555,NA,78652,33957,1.37,1.37,NA,1015,37.04,33469199,76.134,28.2,4.469,2.873,6253.104,NA,724.417,7.57,1.3,24.7,NA,4,71.72,0.72
"211","VUT","Oceania","Vanuatu",2021-04-22,4,0,0.143,1,0,0.143,13.023,0,0.465,3.256,0,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.22,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,NA,70.47,0.609
"212","VAT","Europe","Vatican",2021-04-22,27,0,0,NA,NA,0,33374.536,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.12,NA
"213","VEN","South America","Venezuela",2021-04-22,188063,1318,1242.571,1987,22,19.143,6613.566,46.35,43.697,69.876,0.774,0.673,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,250000,NA,NA,15200,0.88,0.88,NA,535,87.96,28435943,36.253,29,6.614,3.915,16745.022,NA,204.85,6.47,NA,NA,NA,0.8,72.06,0.711
"214","VNM","Asia","Vietnam",2021-04-22,2824,12,9.429,35,0,0,29.012,0.123,0.097,0.36,0,0,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128610,128610,NA,19713,9265,0.13,0.13,NA,95,56.94,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
"215","OWID_WRL",NA,"World",2021-04-22,144742651,899831,809435,3071857,13712,12274.857,18569.133,115.44,103.843,394.091,1.759,1.575,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973378158,533975875,223329095,19944800,15624205,12.49,6.85,2.87,2004,NA,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
"216","YEM","Asia","Yemen",2021-04-22,6020,60,51.857,1157,10,8.571,201.838,2.012,1.739,38.792,0.335,0.287,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
"217","ZMB","Africa","Zambia",2021-04-22,91189,70,93.857,1240,2,1.429,4960.249,3.808,5.105,67.45,0.109,0.078,0.82,NA,NA,NA,NA,NA,NA,NA,NA,4800,1365448,74.274,0.261,5466,0.297,0.019,53.6,"tests performed",3391,3391,NA,1277,565,0.02,0.02,NA,31,39.81,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
"218","ZWE","Africa","Zimbabwe",2021-04-22,38018,38,85.143,1555,0,0.714,2557.908,2.557,5.729,104.623,0,0.048,1.47,NA,NA,NA,NA,NA,NA,NA,NA,1945,478757,32.211,0.131,1953,0.131,0.042,23.6,"tests performed",351799,308071,43728,18803,9417,2.37,2.07,0.29,634,57.41,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
